node_name,memory_usage,cpu_usage,cpu_cores,total_memory,jobId,timestamp
worker21,0.0,0.7844278100926472,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker22,0.0,0.84185377426238,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker23,25.0,1.507826769942,2,8.0,application_1726669773678_0040,2024-09-20T16:17:36
worker24,0.0,0.9359104749425251,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker25,0.0,0.7987221948049461,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker26,25.0,0.9387891129963966,2,8.0,application_1726669773678_0040,2024-09-20T16:17:36
worker27,0.0,0.8072976115761854,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker28,25.0,1.4719747686377294,2,8.0,application_1726669773678_0040,2024-09-20T16:17:36
worker29,0.0,0.8489507991566336,4,1.0,application_1726669773678_0040,2024-09-20T16:17:36
worker1,0.0,0.5433923507788374,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker2,0.0,0.5744904690058505,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker3,0.0,0.5800579861633959,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker4,0.0,0.5672746479434387,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker5,0.0,0.5069803245349225,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker6,0.0,0.5581095840445638,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker7,0.0,0.5523840618453013,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker8,25.0,1.050376125573893,2,8.0,application_1726669773678_0040,2024-09-20T16:17:38
worker9,0.0,0.5420044366141963,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker10,0.0,0.5606369429307811,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker11,0.0,0.5343763068560325,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker12,0.0,0.5202926753219206,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker13,0.0,0.8984912724247507,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker14,25.0,0.9952755483812248,2,8.0,application_1726669773678_0040,2024-09-20T16:17:38
worker15,0.0,0.7341563265970574,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker16,0.0,0.8264156555138014,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker17,0.0,0.9291393774953915,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker18,0.0,0.8500942347956508,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker19,25.0,1.514507387604369,2,8.0,application_1726669773678_0040,2024-09-20T16:17:38
worker20,0.0,0.8962837065642826,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker21,0.0,0.7847647396602597,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker22,0.0,0.8422156560936145,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker23,25.0,1.5084338267890574,2,8.0,application_1726669773678_0040,2024-09-20T16:17:38
worker24,0.0,0.936052314919722,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker25,0.0,0.7989229415293453,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker26,25.0,0.9391318378178859,2,8.0,application_1726669773678_0040,2024-09-20T16:17:38
worker27,0.0,0.8074457293620663,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
