metricsType,appsPending,appsRunning,availableMB,allocatedMB,totalMB,availableVirtualCores,allocatedVirtualCores,totalVirtualCores,totalNodes,activeNodes,unhealthyNodes,shutdownNodes,cpuUsage,memoryUsage,jobId,timestamp
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0006,1710849506.2813883
metricsType=cluster,0,1,14336,34816,49152,15,33,48,6,6,0,0,68.8,70.8,application_1710848715047_0006,1710849509.7582548
metricsType=cluster,0,1,15360,33792,49152,16,32,48,6,6,0,0,66.7,68.8,application_1710848715047_0006,1710849513.2455456
metricsType=cluster,0,1,15360,33792,49152,16,32,48,6,6,0,0,66.7,68.8,application_1710848715047_0006,1710849516.7227385
metricsType=cluster,0,1,16384,32768,49152,17,31,48,6,6,0,0,64.6,66.7,application_1710848715047_0006,1710849520.1918802
metricsType=cluster,0,1,18432,30720,49152,19,29,48,6,6,0,0,60.4,62.5,application_1710848715047_0006,1710849523.6431873
metricsType=cluster,0,1,19456,29696,49152,20,28,48,6,6,0,0,58.3,60.4,application_1710848715047_0006,1710849527.0969865
metricsType=cluster,0,1,22528,26624,49152,23,25,48,6,6,0,0,52.1,54.2,application_1710848715047_0006,1710849530.5337222
metricsType=cluster,0,1,26624,22528,49152,27,21,48,6,6,0,0,43.8,45.8,application_1710848715047_0006,1710849533.9537659
metricsType=cluster,0,1,36864,12288,49152,37,11,48,6,6,0,0,22.9,25.0,application_1710848715047_0006,1710849537.367197
metricsType=cluster,0,1,46080,3072,49152,46,2,48,6,6,0,0,4.2,6.2,application_1710848715047_0006,1710849540.7705019
metricsType=cluster,0,1,47104,2048,49152,47,1,48,6,6,0,0,2.1,4.2,application_1710848715047_0007,1710849581.1277497
metricsType=cluster,0,1,27648,21504,49152,28,20,48,6,6,0,0,41.7,43.8,application_1710848715047_0007,1710849584.4002488
metricsType=cluster,0,1,9216,39936,49152,10,38,48,6,6,0,0,79.2,81.2,application_1710848715047_0007,1710849587.6764693
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0007,1710849590.9963768
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0007,1710849594.2841804
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0007,1710849597.5602837
