metricsType,cpu_percent,cpu_count,mem_percent,mem_total,net_upload,net_download,timestamp,jobId
"metricsType=""worker6",0.2,2,14.9,16741945344,292049087297,302808029554,1710855619.1614418,application_1710848715047_0052
"metricsType=""worker1",0.3,2,13.8,16741896192,361268641807,327856952643,1710855622.289521,application_1710848715047_0052
"metricsType=""worker4",93.6,2,18.1,16741949440,335294830536,331745345014,1710855622.290802,application_1710848715047_0052
"metricsType=""worker3",27.4,2,15.2,16741928960,261740647431,299188461844,1710855622.2949693,application_1710848715047_0052
"metricsType=""worker5",4.0,2,16.5,16741928960,360868727335,327561578799,1710855622.2931612,application_1710848715047_0052
"metricsType=""worker2",47.8,2,14.2,16741908480,275972693400,298013320879,1710855622.2923138,application_1710848715047_0052
"metricsType=""worker6",0.5,2,14.9,16741945344,292049213570,302808031566,1710855622.300503,application_1710848715047_0052
"metricsType=""worker1",6.3,2,16.1,16741896192,361269167066,327857511059,1710855664.536696,application_1710848715047_0053
"metricsType=""worker2",0.5,2,14.2,16741908480,275972737741,298013572332,1710855664.5391753,application_1710848715047_0053
"metricsType=""worker3",0.1,2,15.2,16741928960,261740679001,299188712402,1710855664.5420868,application_1710848715047_0053
"metricsType=""worker5",0.6,2,14.0,16741928960,360869699683,327562415858,1710855664.540241,application_1710848715047_0053
"metricsType=""worker4",0.9,2,14.3,16741949440,335294879984,331745371039,1710855664.538212,application_1710848715047_0053
"metricsType=""worker6",0.2,2,14.9,16741945344,292049649878,302808254908,1710855664.5474708,application_1710848715047_0053
"metricsType=""worker2",84.5,2,17.2,16741908480,275977675625,298018721497,1710855667.8134193,application_1710848715047_0053
"metricsType=""worker1",62.0,2,18.7,16741896192,361277738103,327866065749,1710855667.811109,application_1710848715047_0053
"metricsType=""worker5",85.3,2,17.5,16741928960,360878780420,327571113846,1710855667.8142953,application_1710848715047_0053
"metricsType=""worker3",84.4,2,18.8,16741928960,261750676841,299198921506,1710855667.8162043,application_1710848715047_0053
"metricsType=""worker6",51.6,2,17.4,16741945344,292059660066,302818078617,1710855667.821397,application_1710848715047_0053
"metricsType=""worker4",84.7,2,17.8,16741949440,335307760919,331758463188,1710855667.812317,application_1710848715047_0053
"metricsType=""worker1",54.8,2,18.8,16741896192,361352676698,327940997145,1710855670.9307275,application_1710848715047_0053
"metricsType=""worker2",99.5,2,19.6,16741908480,276086578016,298127629662,1710855670.9334264,application_1710848715047_0053
"metricsType=""worker3",99.5,2,20.6,16741928960,261874697801,299322948265,1710855670.9361475,application_1710848715047_0053
"metricsType=""worker5",99.7,2,19.4,16741928960,360999878858,327692218083,1710855670.9343739,application_1710848715047_0053
"metricsType=""worker6",53.0,2,17.6,16741945344,292142120978,302900537609,1710855670.9415243,application_1710848715047_0053
"metricsType=""worker4",99.7,2,19.7,16741949440,335430740112,331881448181,1710855670.932375,application_1710848715047_0053
"metricsType=""worker3",100.0,2,20.7,16741928960,262032547666,299480795736,1710855674.0410001,application_1710848715047_0053
"metricsType=""worker2",99.8,2,19.7,16741908480,276238654456,298279703708,1710855674.0382996,application_1710848715047_0053
"metricsType=""worker5",100.0,2,19.5,16741928960,361151483836,327843820319,1710855674.0390306,application_1710848715047_0053
"metricsType=""worker1",53.1,2,18.8,16741896192,361428380656,328016697020,1710855674.0358682,application_1710848715047_0053
"metricsType=""worker4",99.5,2,19.8,16741949440,335591961818,332042667191,1710855674.0369544,application_1710848715047_0053
"metricsType=""worker6",51.7,2,17.6,16741945344,292223813092,302982227711,1710855674.0463996,application_1710848715047_0053
"metricsType=""worker4",99.5,2,19.9,16741949440,335753504573,332204207283,1710855677.1536555,application_1710848715047_0053
"metricsType=""worker5",100.0,2,19.5,16741928960,361302715352,327995049522,1710855677.1557064,application_1710848715047_0053
"metricsType=""worker1",54.2,2,18.8,16741896192,361501776378,328090087234,1710855677.152517,application_1710848715047_0053
"metricsType=""worker6",52.3,2,17.7,16741945344,292307040411,303065453162,1710855677.1629498,application_1710848715047_0053
"metricsType=""worker3",99.5,2,20.7,16741928960,262193210284,299641455693,1710855677.157669,application_1710848715047_0053
"metricsType=""worker2",99.5,2,19.7,16741908480,276390415862,298431461962,1710855677.1549666,application_1710848715047_0053
